rat,session,trial,group,duration,iti,reinforced,criterion,valid
87,2.0,17,timeout20,0.19599999999996953,25.09200000000004,0.0,10.0,0.0
87,2.0,18,timeout20,0.3199999999999932,0.08999999999997499,0.0,10.0,1.0
87,2.0,19,timeout20,0.19799999999997908,21.704000000000008,0.0,10.0,0.0
87,2.0,20,timeout20,1.3620000000000232,20.255999999999972,0.0,10.0,1.0
87,2.0,21,timeout20,0.10400000000004184,0.06999999999999318,0.0,10.0,1.0
87,2.0,22,timeout20,0.16800000000000637,20.22199999999998,0.0,10.0,0.0
87,2.0,23,timeout20,25.853999999999985,3.4639999999999986,1.0,10.0,1.0
87,2.0,24,timeout20,22.52600000000001,2.6960000000000264,1.0,10.0,1.0
87,2.0,25,timeout20,14.937999999999988,1.2860000000000014,1.0,10.0,1.0
87,2.0,26,timeout20,12.899999999999977,1.3900000000000432,1.0,10.0,1.0
87,2.0,27,timeout20,15.003999999999962,1.3740000000000236,1.0,10.0,1.0
87,2.0,28,timeout20,16.94399999999996,1.740000000000009,1.0,10.0,1.0
87,2.0,29,timeout20,12.268000000000029,1.170000000000016,1.0,10.0,1.0
87,2.0,30,timeout20,11.007999999999925,1.4380000000001019,1.0,10.0,1.0
87,2.0,31,timeout20,11.261999999999944,1.2759999999999536,1.0,10.0,1.0
87,2.0,32,timeout20,8.198000000000093,0.10999999999989996,0.0,10.0,1.0
87,2.0,33,timeout20,0.04200000000003001,20.22199999999998,0.0,10.0,0.0
87,2.0,34,timeout20,19.8660000000001,2.437999999999988,1.0,10.0,1.0
87,2.0,35,timeout20,16.50999999999999,2.0799999999999272,1.0,10.0,1.0
87,2.0,36,timeout20,13.009999999999991,1.8280000000000882,1.0,10.0,1.0
87,2.0,37,timeout20,15.367999999999938,1.5299999999999727,1.0,10.0,1.0
87,2.0,38,timeout20,17.068000000000097,1.4359999999999218,1.0,10.0,1.0
87,2.0,39,timeout20,18.466000000000008,2.036000000000058,1.0,10.0,1.0
87,2.0,40,timeout20,14.339999999999918,1.5500000000000682,1.0,10.0,1.0
87,2.0,41,timeout20,14.696000000000026,1.2059999999999036,1.0,10.0,1.0
87,2.0,42,timeout20,15.886000000000081,1.5119999999999436,1.0,10.0,1.0
87,2.0,43,timeout20,21.374000000000024,1.3079999999999927,1.0,10.0,1.0
87,2.0,44,timeout20,18.529999999999973,1.54200000000003,1.0,10.0,1.0
87,2.0,45,timeout20,22.625999999999976,1.886000000000081,1.0,10.0,1.0
87,2.0,46,timeout20,14.798000000000002,2.183999999999969,1.0,10.0,1.0
87,2.0,47,timeout20,19.172000000000025,1.6459999999999582,1.0,10.0,1.0
87,2.0,48,timeout20,17.751999999999953,1.2420000000000755,1.0,10.0,1.0
87,2.0,49,timeout20,15.713999999999942,1.6140000000000327,1.0,10.0,1.0
87,2.0,50,timeout20,18.908000000000015,1.641999999999939,1.0,10.0,1.0
87,2.0,51,timeout20,18.63600000000008,1.69399999999996,1.0,10.0,1.0
87,2.0,52,timeout20,24.460000000000036,1.76400000000001,1.0,10.0,1.0
87,2.0,53,timeout20,0.14999999999997726,0.02800000000002001,0.0,10.0,1.0
87,2.0,54,timeout20,0.2139999999999418,20.081999999999994,0.0,10.0,0.0
87,2.0,55,timeout20,27.83000000000004,0.05200000000002092,1.0,10.0,1.0
87,2.0,56,timeout20,0.09600000000000364,27.755999999999972,0.0,10.0,1.0
87,2.0,57,timeout20,29.680000000000064,1.849999999999909,1.0,10.0,1.0
87,2.0,58,timeout20,2.880000000000109,20.235999999999876,0.0,10.0,1.0
87,2.0,59,timeout20,10.251999999999953,2.258000000000038,1.0,10.0,1.0
87,2.0,60,timeout20,21.076000000000022,1.5879999999999654,1.0,10.0,1.0
87,2.0,61,timeout20,20.71199999999999,1.8520000000000891,1.0,10.0,1.0
87,2.0,62,timeout20,22.87799999999993,2.122000000000071,1.0,10.0,1.0
87,2.0,63,timeout20,18.299999999999955,1.2699999999999818,1.0,10.0,1.0
87,2.0,64,timeout20,21.65000000000009,1.6859999999999218,1.0,10.0,1.0
87,2.0,65,timeout20,15.04600000000005,1.4859999999998763,1.0,10.0,1.0
87,2.0,66,timeout20,22.552000000000135,1.3299999999999272,1.0,10.0,1.0
87,2.0,67,timeout20,25.276000000000067,1.627999999999929,1.0,10.0,1.0
87,2.0,68,timeout20,19.17800000000011,2.27599999999984,1.0,10.0,1.0
87,2.0,69,timeout20,0.18200000000001637,0.07400000000006912,0.0,10.0,1.0
87,2.0,70,timeout20,0.18800000000010186,21.66599999999994,0.0,10.0,0.0
87,2.0,71,timeout20,27.392000000000053,2.589999999999918,1.0,10.0,1.0
87,2.0,72,timeout20,22.475999999999885,1.9240000000002055,1.0,10.0,1.0
87,2.0,73,timeout20,34.84999999999991,1.1900000000000546,1.0,10.0,1.0
87,2.0,74,timeout20,19.843999999999824,1.7420000000001892,1.0,10.0,1.0
87,2.0,75,timeout20,17.874000000000024,2.0939999999998236,1.0,10.0,1.0
87,2.0,76,timeout20,12.865999999999985,1.30600000000004,1.0,10.0,1.0
